Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2020","2020","ha","24429","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01341","Apples","2020","2020","kg/ha","40885.9","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2020","2020","t","998785","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2021","2021","ha","27612","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01341","Apples","2021","2021","kg/ha","41604","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2021","2021","t","1148771","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2022","2022","ha","29542","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01341","Apples","2022","2022","kg/ha","41698.4","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2022","2022","t","1231866.87","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2023","2023","ha","28416","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01341","Apples","2023","2023","kg/ha","42190.8","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2023","2023","t","1198897.39","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2024","2024","ha","31099","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01341","Apples","2024","2024","kg/ha","42687.5","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2024","2024","t","1327544.88","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","2020","2020","ha","2553","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01343","Apricots","2020","2020","kg/ha","8450.8","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","2020","2020","t","21578","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","2021","2021","ha","4678","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01343","Apricots","2021","2021","kg/ha","8447.3","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","2021","2021","t","39520","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","2022","2022","ha","3463","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01343","Apricots","2022","2022","kg/ha","8454.5","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","2022","2022","t","29276","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","2023","2023","ha","2965","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01343","Apricots","2023","2023","kg/ha","8392.8","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","2023","2023","t","24887.87","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01343","Apricots","2024","2024","ha","2952","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01343","Apricots","2024","2024","kg/ha","8329.1","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01343","Apricots","2024","2024","t","24584.87","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2020","2020","ha","60","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01211","Asparagus","2020","2020","kg/ha","4100","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01211","Asparagus","2020","2020","t","246","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2021","2021","ha","50","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01211","Asparagus","2021","2021","kg/ha","4700","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01211","Asparagus","2021","2021","t","235","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2022","2022","ha","69","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01211","Asparagus","2022","2022","kg/ha","4474.6","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01211","Asparagus","2022","2022","t","307","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2023","2023","ha","189","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01211","Asparagus","2023","2023","kg/ha","4265.4","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01211","Asparagus","2023","2023","t","808","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01211","Asparagus","2024","2024","ha","197","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01211","Asparagus","2024","2024","kg/ha","4249.2","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01211","Asparagus","2024","2024","t","836","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01311","Avocados","2020","2020","ha","16916","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01311","Avocados","2020","2020","kg/ha","5011.5","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01311","Avocados","2020","2020","t","84775","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01311","Avocados","2021","2021","ha","16327","I","Value imputed by a receiving agency",""
